sent_a	sent_b	rhyme
«Hva lider så du, og hva har du gjort?»	«Hvem banker så silde på klostrets port?»	1
når den ei fatte kan det heles liv;	her finnes ingen obligate kunster.	0
de stiger opp som lodne menn av luker.	De høres bore og av iver jamre:	0
Skygger av de falne fedre,	enn hvor slike ord ble sagt,	0
Hans sanser er lukket i dyp forakt	og de hellige steders talløse minner.	0
det er Hadsel med seilet i tverråen strakt,	selv om seilet vel ikke er skuten !	0
Moses med Jehova strider.	for sin blindhet folket lider.	1
kjekke, modige soldater.	i den stolte krigerskare,	0
Så var det vel stusslig de tider som gikk	Den påstand er luftig som bølgenes skum,	0
tidt hånden skalv, og syntes svak og trett.	Av edle stener fant han ikke mange.	0
seg med Gosens rike grøde !	at til slavers gunst jeg beiler.	0
har givet deg hjelp, men så koldt og slett	i farens stund,	0
dine smilende daler, strander og byer,	samles fra Norden imot dine fjelle,	0
Til reisen er dagen endelig kommen.	for å søke de hatede kjetteres spor.	0
til hjertet med salmene møtes!	og hører på havsus om fallgard og flu	0
Og sædens vekst kun syntes svak og sped.	I sumpens dunster alt for lett de døde.	0
og spilte luth og sang om Trojas brann.	og moret seg blandt skjøger og slavinner,	0
som svaier i havets bris	med ville jordbær og kaprifol	0
Herrens røst med livets varme	deg min makt og mitt behag.	0
Du likte visst meg? Jeg kan huske en kveld	Nei skulle jeg bli her, da gikk jeg istå,	0
bli bragt forbi av en lovens svenn —	Han hadde vel tatt noe, ingen gav ham.	0
det hivdes i havet, det ryddedes bort	med forbannelsens ord!	0
For dverger bøyer helten kne!	er kun et rør for vær og vind.	0
sin tone langs lien og skogen.	og pløyde med hånden på plogen!	1
havet gikk og sang	ut mot horisontens hildring.	0
En leder må den bli igjennom ætten	lik ønskekvisten som får liv i hånden	0
Skal folkets hyrder aldri se	har Herren angret løftets ed?	0
Til deg, som mumler i ditt hvite skjegg	Nå ligger øksen innved treets legg,	1
Når sølvminen drives så båten er full,	man hover i båten det flytende gull,	1
og bløgger så fort som han vinner.	så får han om rekken det kostbare bruk,	0
Var her, ved siden av den ville støy	litt glede ved et vingepar som fløy.	1
om lys for neste trinn du trer,	Og om du speider, spør og ber	1
drog til sæters flittig nok;	Bygdens unge menn i flokk	1
og norske verker gå fra Norges indre.	den trie livskraft må seg dog bevare,	0
rekker Paulus broderhånd,	«La min unge søstersønn	0
på tanngard og gjeller den var som en hai,	den flerrer i garnet og eter vår fisk,	0
ingen som er født av kvinner,	Edlestel På åndens tinder	1
fra leiet søvnen vek,	og fryktens mørke syner	0
og Øyet ingen utsikt får,	da er det helst din ånd er oppe,	0
Aldri er jeg helt og fullt den samme,	det som stiger opp av det som dukkes,	0
Det er Aron.  Han kan bære	han er rettvis, klok og mild —	0
Hans brødres nød ei gir hans tanker hvile.	Han trenges overalt — hans klare ånd,	0
seg et selsomt rykte spreder.	Er det mulig slikt kan hende:	0
de martrede menn bevarer sitt mod.	Lydt gjennom fengslets celler og ganger	0
Uendelig alt, hvor det minste og største	ingen har sett.	0
og vite at trekningen gavner.	mens bruket i dypet til storfangst går,	0
Vi svor å sprenge oss en vei mot lyset:	som gikk i oss, da vi ble stanset der.	0
da tankene strømmet som sol gjennom hjernens sky	og vi i undren så oss omkring i en verden ny	1
«Ja, om det var mørkt,» sa Dyre.	med troll og med berguhyre?»	1
hun segner av villighet.	så nevn ikke alt du vet!	1
— Og hvorfor ikke gripe fatt	sin brustne drøm, sitt hjertes savn.	0
Nitsjevo  gi fan i resten	Nok et lite knall til hesten.	1
Trafikk-konstablen — den Urias	Et sus av sykler på Rådhusplass!	1
og stod der i noen sekunder og stirret	Så løftet han hodet, og blikket gled bort 	0
som et bilde i ura som ruller seg grå	Og Svolvær det ligger, som alltid det lå,	1
Vesle min hue, for visst jeg tror,	hugsede ennå på sin mor.	1
Av byens mange rare silhuetter	er dette den jeg husker allerbest.	0
gjennom kystlinens skår.	og bølgene som går	1
Her ligger fabrikker og sykehus lagt,	og tegner sin rute om halve vårt kart,	0
Det var som gaten åpnet seg for deg	og ham, din følgesvenn, den unge sommer.	0
Just dertil av ham selv utkåren,	å vorde ham, sin skaper, lik;	0
Han prøver  kanskje hun er kåret:	min tunge tørr av solens brann,	0
En flygetorsk tror seg å være fugl	og tror seg Apollons fetter.	0
giftige ord.	vil slå ham til jord.	1
ei minste lyte var derinne	i sjelens tilstand og attrå;	0
at huset bærer jeg med på farten,	han skulle vite hvor godt det gjør	0
Han er dødl Som en bedrager	Og hans venneer gråter, klager,	1
da bevet i tonenes sukk et navn —	Når strengene sitret i lengsel og savn	1
I åndens dybde ligger skjult verdien,	en saftig glose straks dens hjerte rører.	0
og rauter opp i det tomme.	Når skal dette være omme?	1
sin lille skjerv av lykkens skatt	— Og hvorfor ikke gripe fatt	1
Og Paulus selv om føye tid forstår	de få av flokken som er enn tilbake;	0
utbt till dad; til seir på ny!	under klang av klingers gny.	1
«kald er natten. Ta den på.	er klippens kløfter, markens strå.	1
Korint! Med sine templer og bordeller,	med sin skjøger, bander og geseller!	1
brenner dem som ild i barmen.	Når det kun var slikt han vilde,	0
og satt som venn ved deres bord.	og deres levevis og seder	0
Og — tross alt  mot kongens hus	Davids lengsel alltid stunder,	0
forgjeves i fjellveggen risse,	et bilde på ensomhetens makt over en	0
Vel, hun har et skinn av rett,	men allikevel jeg tror	0
Ja er der andre egne til	og flykt fra støv og ørkenild	1
Hans hår er lyst som gyllen høvelspån	ja rent som strøket med mahognibeis!	0
For bak det svarte fjell med kullstøvskyen	lå eventyrets endeløse land	0
så har han tapt,	den han har skapt.	1
er er et glimt av morgenrødens flamme,	og skimte dagen i vårt dunkle nord	0
Nå er han atter rolig og verdig;	han trykker forræderens kyss på hans kinn.	0
der kunde han trygge sin glede.	mens utsæden såes og grønnes hver vår,	0
Enn er det kun et sukk fra støvet,	forvandle verdens gråt til sang.	0
Her ved den laurbæromkransede strøm	Aleksander den unge, susende ørn.	0
Den skjulte angst i alles sjele	Den kjære venn de fast omringer,	0
han bærer det minste lam.	hans eneste venner,	0
om lynet som i mulmet blinker,	om lys for neste trinn du trer,	0
for solgul lønn og snehvit hegg,	for måkeskrik og måkeegg,	1
pløyer raskt den smukke seilleds spor.	stirrer over mot Kaystros munning,	0
Er det sus av englevinger !	Er det sang fra dagens lunde?	0
Den kjære venn de fast omringer,	her må dog alle se Guds finger.	1
fornektet naturens befalende bud	og nølende hu,	0
Jo, her skal nok virkes og bygges med tål,	med alle slags utsyn og løfter!	0
Som ørnen, som i kampens vær	hvis sjelens vunde helt skal gro.	0
Hva ville profeten? Hans mening er klar:	Hans kappe i kne Elisa tvinger,	0
Ensomhet! I støvets drakt	går seg trett på jordens veie,	0
Så la han da ut denne ånd av en Pan,	Nå er han som verset i vårdagens vind,	0
Dette dødens litani	klager, skjelver gjennom vrimlen,	0
ingen deg skylder, alle deg krever;	ingensteds unnes deg ro eller fred,	0
og om kuling og storm er i vente.	Velsignede stemme — du sparte mang mann,	0
Som modne fedre i Guds hus	Guds rikdoms dyp, hans nådes under. 	0
og fire en opkveilet line!	Han lærer seg alt som den ørvesle kar'n	0
syndig jord til hellig grøde.	ble til livsens verk befriet.	0
Jeg kjenner deg og vet hva du har lidt	hvor all den sol, man har, står inn	0
fra slagsmål mellom mann og mann på kniv	til ydmyg elskov mellom sinn som unge siv.	1
henfarne slekters rike arv	i folketreets morkne stamme,	0
Og nå stod han her som fremmed i et fremmed land,	hvor i solens dis som skyer fjerne land han så.	0
Hvor kan de håpe at det går	fremad i norskhet og i glede:	0
Når ølet virker i bjelkestuen	da knaker veggen, da danser kruset;	0
ja skriv dem på din hånd, din panne,	så med ditt blod de seg må blande.	1
«Hva ser jeg? Kongen? Så tidlig på ferde	"""Nå taler du ikke? Du er blek, min skatt."	0
ei heller ærens ekeløv hans krans.	å vinne  denne strid var også hans.	1
og smiler triumferende og hopper ut fra skuten!	Han kravler opp i vinduet, slår neven inn i ruten	1
som det i vemod og hast	Aldri ditt håndtrykk så fast	1
til fedrene fra fordums dage	som bar dem gjennom nød og plage	1
skjebnens tråder mørkt er spunne	i vårt levnets tunge dage.	0
og sakte grep meg altets tyngde fatt.	Og i meg brødes enn som strøm mot strøm	0
har sløret hans sinn og sans	de halvnøkne lemmer i dans.	1
at den er åndende og søt og ung!	som herjer med sin lede i vår sjel	0
Jaget som fredløse søkte de frem	til Lystråa en by blandt Pamfyliens bjerge;	0
Og så satt det noen i den	Sverre prest og andre menn,	0
Det gamle slagur på veggen	inne er lummert av kiv.	0
Ja, der lå byens vest med stille gater	hvor det på portene hang gylne plater	1
hilses overalt med glede	Som en fader var han rede	0
seiersskriket kvæler en fornektelse i munnen.	Nå kjenner jeg den dypeste kval: at stå på bunnen;	1
et kvad der egoistens stemme runger	å er din mening på de mange tunger,	1
dit vil jeg føre det — og det skal bo	Til landet hvor dets fedre først fant ro,	1
som bar når allting vilde glippe.	som syntes uten mål og ende,	0
som vakte nå min tonetrang,	da fikk dere ingen sang.	1
men våren var i luften, og håpet var vår gjest,	og på jorden var alt som det skulle!	0
Fra by til by, fra land til land	i blod og tårer er den døpt,	0
ved tøfler og sjal.	og da var jeg gal!	1
blir dagens fine, blanke sild	Så stimler byens koner til,	1
Og som fugleskarer svermer	medens Puteolis havn	0
min forstand og mine sanser	plutselig Obadja stanser. 	1
Akk Israels kjemper har brukket skjold —	At Herren er med dem som vern og vold	1
i stjerneskogen i måneland	for alltid flytte inn	0
Men i sitt frysende favntak han kryster	stivnet; men stilt som en vårdrøm i telen	0
atter dette stikk i barmen,	denne angst, de syner røde. —	0
Det koster inn under så høye hvelv	en langsom kamp for å føle seg herre;	0
stjernene smiler fra mattblå himmel.	samles som vanlig i skumringens stund,	0
myndig gjennom sløvet bringe;	demper lystens ville brande,	0
alt i alt seks hundre mann,	i den stolte krigerskare,	0
Var her alltid så smukt?  I avskjedens stund	Plogen og åket må tjene som brenne.	0
at orglet i Hadsel har spill som forslår,	men i Sortland er pipene færre.	0
og deres gunst ditt hjerte dårer,	Hvis andre guder du deg kårer,	1
men minnes må lenken til hus og til bank,	Han er nok på marken så fri og så frank,	1
«Gå, Obadja!l Bring mitt bud	til din herre.  Ved min Gud	1
Her minnes de våren med sol over sne	og stenker sitt lys i den blomstrende rogn	0
kjekke, modige soldater.	Og når nattens mulm beskytter	0
Ham rører dog den armes jammer,	det slukte blikk, de stive lemmer 	0
dette ringe	Som en klinge	1
og passe sin plikt og sin næring.	Det er løfter i dette å gå med sin tid	0
hvor ingen mann er trell.	Alt overskudd, alt skjønt er rov,	0
når lydt klinger evighetsordet,	og sitter som gjest ved bordet.	1
og høyt over åsene står der en stjerne,	og dypt i mitt hjerte går vårdagens vind;	0
Frysende skinner det store og sanne!	Du dødning deroppe! Sumpen er lunken,	0
da er din jubel en forvirret tale.	fordi du dasker med en løvehale?	1
Slik Jonatan til David taler:	For kort blir dagen. Solen daler.	1
kan han høre enkens jammer,	hvor på vrakets rester kravler	0
til han satte tegnet,	Han regnet og regnet	1
enn et ønske, enn et blikk, et ord.	ser og ser, til skipets seil forsvinner.	0
og kampen har ei ende;	men byen, hvor den foregiår,	0
med underdeilig måneglans —	Der henger sølvskjold i en krans	1
da høres de nattlige skarers ritt,	da knaker veggen, da danser kruset;	0
flink med skreppa på sin nakke,	både opp og nedad bakke.	1
og havsbåren presser mot fjære og bukt,	Når skodden så driver om tinden sin flukt	1
Nå sov ikke lenger!	om straks du ei favner din skatt.	0
Se hennes smil imot den unge slusk	De har nok leilighet i hver en busk	1
når fiskerne møtes i tusner av lag	og gluntan i gatene yrer.	0
slik tale så titt meg piner og plager.	Jehova, kun han, over alle har makt	0
Den ånd som viking-snekken bygde	og derfra over alle tider,	0
og tåken hersker over dag og natt;	mot luftens vegg, som skumrer grå og matt;	1
og gjemte dem i tanget som umistelige ting,	og lekte seg med småsten og pinner,	0
Hans engel tar med	hans lover er lutrende luer.	0
og snart er hele kjerring-hurven	forsamlet rundt om fiskekurven	1
Og straks fra oven røsten lyder:	i hvem jeg har mitt velbehag	0
i nattens stillhet og i skyers drift,	i søvn og fuglesang og land om høsten.	0
og sender ut til lysets antikrister	fra våre gjæve frihetsrigorister,	1
Her var ei stengsel for hans fot —	snart klatret han i Horebs fjelle,	0
mot veggen, hvor de troner som mumier i rekker;	Og menn i sorte hetter på ryggen bærer sekker	1
for den har selv et anlegg for å rase.	Så lite gjelder rett og slett ekstase,	1
mens havet i tangvasen skyller.	Den sitter i ura og rugger seg litt	0
I folkenes brogede vrimmel spredt,	De lyder sin lov, de gransker dens bud,	0
at engen så frodig i liene stod	når grendene ligger der gård etter gård	0
rett hans kongedømme kjenner;	ikke én hans kall forstår.	0
med den over åser og topper og tind.	og dypt i mitt hjerte går vårdagens vind;	1
Ja forvisst, hin hedersmann	samme sikre vei få vandre.	0
Og som ensom vandringsmann seg gleder	sådan Pauli sjel i glede luer	0
Guds faste grunn urokket evig står.	Fullfør din tjeneste med udelt sinn;	0
hun sanket, hun flettet og gråt dertil:	ta dem du vil !	1
for livet uavlatelig	med dyre manne-fall	0
Han minnes alt — og gir Gud Herren rett.	og nå som før på Herrens bud han bier.	0
ble sloppet inn i ringen;	så la den seg på bringen.	1
Forgjeves er hans strid, hans møye,	og vike som en slagen mann.	0
Hver markens blomst, hvert skogens blad,	og skyens kyss på snehvit tind 	0
med det vindblåste rognekjæret	og viser en smågutt vei.	0
Her hvor en fjellfuru kløfter sin rot	og git sine liv til skjenk.	0
Og hva skjer?. Mens alle tviler,	her har satt hinannen stevne	0
Nå drar jeg til andre byer	med litt mere lys og plass,	0
hvor ikke de drivende skyer	Nå drar jeg til andre byer	1
Du tror at intet hender, at allting er som før,	og nå ser jeg den til arbeidet ile	0
Moses, Guds helt Han vaklet ei! 	Ei flyktet han feigt om døden truet,	0
Hvem skal råde, hvem skal lede,	Alle spør, men ingen kan	0
men det aldri noe gjorde,	og vi var så små,	0
Krone de skal hans forhatte tinning	og kreve tilbake med renter hans ran.	0
smiler dronningen blandt steder:	hvit, i dunkle lunders brem,	0
mens bølgeskogen som en vakt av tidsler	omkring dens krone suser mørkt og hvisler.	1
Se, deri er jeg av snegle-arten	og den som tror, det er tungvint bør,	0
i snehvite skor,	kom, kalven til mor,	1
Vakten borte med sittt våpen?	Hør! da gjennom luften runger	0
Han hadde dem selv ved sitt eget bord.	det løser hans bånd, fjerner hans våde,	0
budet over landet vide	som en angstfuil, stille kvide	1
brakte han i land fra dragen.	klar den stod på pinsedagen,	1
Herrens klarhet fra det høye?	for å redde ham i nøden.	0
Derfor er hans nei bestemt.	som skal åndens tempel bygge.	0
i lysning viser varder oppe,	så mot og minner seg forynger,	0
Og når nattens mulm beskytter	i den stolte krigerskare,	0
for din velsignelse derav,	For mat og drikke du oss gav,	1
og sovnet slik han lå.	en ende, lyseblå!	1
Senere kaltes han alltid for: Stormenes Ørn!	Så er det sagt, at han smilefde kvad om sin tørn.	1
at du blir større iblant de store.	Da skal du spore	1
Men hvorfor kraft og helsebot	og styrkens drømmeløse mot?	1
Vårens første vingeslag	suste over fjell og dale,	0
elskeren som elsker uten grense,	alt forlatende og alt forlatt,	0
